accident_id,date,time,am_pm,location,description,autonomous_mode,vehicle_1_make,vehicle_1_model,vehicle_1_year,vehicle_1_moving,vehicle_2_make,vehicle_2_model,vehicle_2_year,vehicle_2_moving,weather_conditions,road_conditions,lighting_conditions,roadway_surface,associated_factors,impact_points,vehicle_damage
24,12/11/2024,12:56,PM,"San Francisco, San Francisco","On December 11, 2024 at 12:56 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a vacuum cleaner on Bayshore Boulevard at Silver Avenue. The Waymo AV was traveling north on Bayshore Boulevard in the left lane of two lanes when it encountered a vacuum cleaner laying on its side in the roadway within its lane and across the lane line separating the two lanes. The Waymo AV applied braking and the front passenger side tire of the Waymo AV made contact with the vacuum cleaner.  At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The vacuum cleaner sustained damage.Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01.  Waymo may supplement or correct its reporting with additional information as it may become available. ",Yes,Jaguar,I-Pace,2024,Yes,,,,No,weather_a_1,road_conditions_h_1,lighting_c_1,roadway_a_1,Not specified,Not specified,UNK
25,12/14/2024,09:53,AM,"San Francisco, San Francisco","On December 14, 2024 at 9:53 AM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a heavy truck on Alabama Street at Cesar Chavez Street. The Waymo AV was stopped facing a malfunctioning traffic light on southbound Alabama Street at the intersection with Cesar Chavez Street. While the Waymo AV remained stopped and the traffic light was not illuminated, a heavy truck that had been stopped behind the Waymo AV entered the oncoming lane of Alabama Street to maneuver around the Waymo AV. As the heavy truck was passing the stopped Waymo AV, the passenger side of the heavy truck made contact with the rear driver side corner of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.",Yes,Jaguar,I-Pace,2021,No,,Freightliner MT45 Chassis,2017.0,Yes,"weather_c_1, weather_c_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_b_1, roadway_b_2",Not specified,left_rear_1,MINOR
26,12/16/2024,01:58,AM,"San Francisco, San Francisco","On December 16, 2024 at 1:58 AM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a heavy truck on Toland Street at Jerrold Avenue. The Waymo AV was traveling northeast on Toland Street. As the Waymo AV approached the intersection with Jerrold Avenue, a heavy truck initiated a wide left turn from southwest Toland Street onto southeast Jerrold Avenue. The Waymo AV came to a stop at the four-way stop sign to prepare to cross the intersection with Jerrold Avenue. While the heavy truck was partially on Toland Street and partially on Jerrold Avenue, the Waymo AV entered the intersection to maneuver around the right side of the heavy truck, but immediately came to a stop as the heavy truck began reversing. The passenger side of the heavy truck then made contact with the passenger side of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.",Yes,Jaguar ,I-Pace,2021,No,,,,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_c_1, lighting_c_2","roadway_a_1, roadway_a_2",Not specified,front_passenger_side_2,MINOR
27,12/17/2024,1:08,AM,"San Francisco, San Francisco","On December 17, 2024 at 1:08 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a heavy truck on Van Ness Avenue at O'Farrell Street.The Waymo AV was in autonomous mode traveling north in the rightmost of two lanes on Van Ness Avenue when it partially entered the left adjacent lane to make room for a cyclist on its right who was traveling in the same direction. A heavy truck behind in the left adjacent lane proceeded forward, and the Waymo AV test driver transitioned to manual mode immediately before the rear driver side of the Waymo AV made contact with the front passenger side of the heavy truck. At the time of the impact, the Waymo AV’s Level 4 ADS was not engaged and a test driver was operating the Waymo AV in manual mode. Both vehicles sustained damage.",No,Jaguar,I-Pace,2021,Yes,,Freightliner M2 106,2018.0,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,left_rear_1,MINOR
28,12/20/2024,3:55,AM,"Los Angeles, Los Angeles","On December 20, 2024 at 3:55 AM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in Los Angeles, California was in a collision involving a fixed object (solar panel) in a parking lot at 8985 Venice Boulevard. The Waymo AV was traveling through a parking lot at a low rate of speed when the front driver side of the Waymo AV made contact with the corner of a solar panel situated to the left of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.",Yes,Jaguar ,I-Pace,2024,Yes,,,,No,weather_a_1,road_conditions_g_1,lighting_c_1,roadway_a_1,Not specified,left_front_corner_1,MINOR
29,12/20/2024,8:28,AM,"Los Angeles, Los Angeles",,No,Jaguar ,I-Pace,2021,No,,Lexus LX470,2010.0,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_c_1, lighting_c_2","roadway_a_1, roadway_a_2",Not specified,"left_rear_1, right_front_corner_2, right_front_corner_3, front_bumper, left_rear_2, left_front_corner_3",UNK
30,12/20/2024,3:55,AM,"Los Angeles, Los Angeles","On December 20, 2024 at 3:55 AM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in Los Angeles, California was in a collision involving a fixed object (solar panel) in a parking lot at 8985 Venice Boulevard. The Waymo AV was traveling through a parking lot at a low rate of speed when the front driver side of the Waymo AV made contact with the corner of a solar panel situated to the left of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.",Yes,Jaguar ,I-Pace,2024,Yes,,,,No,weather_a_1,road_conditions_g_1,lighting_c_1,roadway_a_1,Not specified,left_front_corner_1,MINOR
31,12/25/2024,08:40,AM,"San Francisco, San Francisco","On December 25, 2024 at 8:40 AM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger car on Broadway near Buchanan Street. The Waymo AV was parked at the curb in the westbound direction of Broadway street, in front of a parked passenger car, when another passenger car parallel parked in front of the Waymo AV within close proximity to the front of the Waymo AV. Due to the proximity of the now parked passenger car in front of the Waymo AV, the Waymo AV was unable to unpark from the curb, and the ADS was disengaged to maneuver the Waymo AV away from the curb. The Waymo AV was maneuvered in manual mode to unpark from the curb. During this maneuver, the test driver reversed the Waymo AV and the rear of the Waymo AV made contact with the front of the passenger car that was parked behind the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was not engaged and a test driver was operating the Waymo AV in conventional mode. Both vehicles sustained damage.",No,Jaguar,I-PACE,2024,Yes,,Toyota Corolla ,2010.0,No,"weather_b_1, weather_b_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",other_k,rear_bumper,MINOR
32,12/27/2024,10:16,AM,"San Francisco, San Francisco","On December 27, 2024 at 10:16 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger car on Larkin Street at Olive Street. The Waymo AV was traveling northbound on Larkin Street when a passenger car traveling directly in front of the Waymo AV stopped in lane, and began to reverse to parallel park at the curb. While the passenger car was reversing, the rear driver side of the passenger car made contact with the front passenger side of the stationary Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position).  Both vehicles sustained damage.",Yes,Jaguar,I-Pace,2021,No,,Buick Lucerne,2007.0,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_c_1, lighting_c_2","roadway_a_1, roadway_a_2",other_k,right_front_corner_3,MINOR
33,07/27/2024,04:28,AM,"San Francisco, San Francisco","On July 27, 2024 at 4:28 AM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger car on Cesar Chavez Street at the Bayshore Boulevard Exit. The Waymo AV was traveling east on Cesar Chavez Street when it took the one-way onramp exit to Bayshore Boulevard. As the Waymo AV was traveling through the onramp, a passenger car approached in the oncoming direction, traveling the wrong way on the one-way ramp. The Waymo AV slowed to a stop as it yielded to the oncoming passenger car. While the Waymo AV remained stopped, the passenger car passed the Waymo AV on the right of the Waymo AV. As the passenger car was passing the stopped Waymo AV, the passenger side of the passenger car made contact with the rear passenger side of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage and the passenger car left the scene.",Yes,Jaguar,I-Pace,2024,No,,Honda Accord Sport,2022.0,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_d_1, lighting_d_2","roadway_a_1, roadway_a_2",Not specified,"right_rear_1, right_rear_3",MINOR
34,08/01/2024,10:05,AM,"Los Angeles, Los Angeles","On August 1, 2024 at 10:05 AM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in Los Angeles, California was in a collision involving an SUV on W. Jefferson Boulevard near La Brea Avenue. The Waymo AV was stopped in traffic in the leftmost lane of a two-lane section of westbound W. Jefferson Boulevard, just before the road widened to include a dedicated left turn lane in lane three. While the Waymo AV remained stopped, an SUV approached the Waymo AV from behind and partially entered the oncoming lanes of W. Jefferson Boulevard to maneuver around the Waymo AV and proceed into the dedicated left turn lane. As the SUV was passing the stopped Waymo AV, the passenger side of the SUV made contact with the rear driver side corner of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage and the SUV left the scene.",Yes,Jaguar,I-Pace,2024,No,,Kia Sportage LX,2023.0,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,left_rear_1,MINOR
35,11/26/2024,5:57,AM,"Los Angeles, Los Angeles","On November 26, 2024 at 5:57 PM PT, a Waymo Autonomous Vehicle (“Waymo AV”) operating in Los Angeles, California, was involved in a collision involving a passenger car at the intersection of Venice Boulevard and Vermont Avenue.The Waymo AV was traveling west on Venice Blvd, and approaching Vermont Ave in the leftmost of two through lanes proceeding straight. As the Waymo AV began to enter the intersection after the traffic light turned yellow, an eastbound passenger car, waiting to make a left turn onto northbound Vermont Ave, proceeded to initiate a left turn during the yellow traffic signal, and impacted the Waymo AV on the front driver side. At the time of the impact, the Waymo AV Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage and required towing services; the passenger in the passenger car reported a minor injury.",Yes,Jaguar ,I-Pace,2024,Yes,,Honda Prelude,1997.0,Yes,"weather_c_1, weather_c_2","road_conditions_h_1, road_conditions_h_2","lighting_c_1, lighting_c_2","roadway_b_1, roadway_b_2",Not specified,"front_bumper, left_front_corner_1, left_front_corner_3",UNK
36,11/26/2024,3:48,AM,"Culver City, Los Angeles","On November 26, 2024 at 3:48 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in Culver City, California was in a collision involving a van at a shopping center located near 3816 Sepulveda Boulevard.The Waymo AV was exiting a shopping center driveway and yielding to traffic as it prepared to make a right onto northwestbound Sepulveda Boulevard when a van traveling directly behind the Waymo AV passed the Waymo AV on the left and proceeded to make a right turn onto northwestbound Sepulveda Boulevard. While passing the stopped Waymo AV, the van’s passenger side made contact with the rear driver side of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.",Yes,Jaguar,I-Pace,2024,No,,Freightliner Sprinter 2500,2014.0,Yes,"weather_b_1, weather_b_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,left_rear_1,MINOR
37,11/27/2024,6:21,AM,"San Francisco, San Francisco","On November 27, 2024 at 6:21 PM PT, a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California, was in a collision involving a passenger car on Barneveld Avenue at Jerrold Avenue.The Waymo AV was traveling north on Barneveld Avenue and came to a stop at the 3-way stop sign controlled intersection of Jerrold Avenue, when a passenger car approached the Waymo AV from behind. The front of the passenger car made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.",Yes,Jaguar,I-Pace,2024,No,,Honda Civic EX-T,2018.0,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_c_1, lighting_c_2","roadway_a_1, roadway_a_2",Not specified,"left_rear_1, rear_bumper",MINOR
38,11/27/2024,6:21,AM,"San Francisco, San Francisco","On November 27, 2024 at 6:21 PM PT, a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California, was in a collision involving a passenger car on Barneveld Avenue at Jerrold Avenue.The Waymo AV was traveling north on Barneveld Avenue and came to a stop at the 3-way stop sign controlled intersection of Jerrold Avenue, when a passenger car approached the Waymo AV from behind. The front of the passenger car made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.",Yes,Jaguar,I-Pace,2024,No,,Honda Civic EX-T,2018.0,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_c_1, lighting_c_2","roadway_a_1, roadway_a_2",Not specified,"left_rear_1, rear_bumper",MINOR
39,08/20/2024,5:49,AM,"San Francisco, San Francisco","On August 20, 2024 at 5:49 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a cyclist on Brannan Street at 4th Street.The Waymo AV was traveling south-westbound on Brannan Street approaching the intersection with 4th Street. As the Waymo AV came to a stop for a traffic stack ahead of the Waymo AV, partially oriented into the dedicated left turn lane at the location where that lane begins, a cyclist merged out of the bike lane and into the general purpose travel lane, and while the cyclist was looking backwards, the front of the bicycle made contact with the rear passenger side of the stopped Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The cyclist remained upright throughout the interaction and alleged that they had sustained an injury.",Yes,Jaguar,I-Pace,2024,No,,Bicycle,,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,Not specified,UNK
40,10/16/2024,05:27,AM,"San Francisco, San Francisco","On October 16, 2024 at 5:27 AM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a van in an underground parking lot at 1160 Mission Street.Two Waymo AVs were stopped at neighboring junctures of a tight T-instersection of the lot. The first Waymo AV was preparing to make a right turn, while yielding to the other Waymo AV. While the Waymo AVs remained stopped, a van that had been traveling behind the first Waymo AV entered the oncoming lane to maneuver around the left side of the Waymo AV. The passenger side of the van then made contact with the rear driver side of the stopped Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.",Yes,Jaguar, I-Pace,2024,No,,,,Yes,"weather_f_1, weather_f_2","road_conditions_h_1, road_conditions_h_2","lighting_c_1, lighting_c_2","roadway_a_1, roadway_a_2",Not specified,left_rear_1,MINOR
41,11/27/2024,1:27,AM,"San Jose, Santa Clara","On November 27th at 1:27pm, Car 1 (weride av) - while in autonomous mode -  was making a legal, protected, left turn from Coleman Ave. Car 1, turning onto W Hedding St., performed the turn from the second lane from the left and was travelling 11 mph when Car 1 then slowed down while still in the intersection. It is at this time Car 1's safety driver disengaged Car 1 from autonomous mode by using the throttle; this put car 1 into manual mode. It is at this time when car 2 (Ford f-150 XLT), traveling at 18 mph and also making a left turn from Coleman Ave within the same lane as car 1, struck and rear ended car 1 while both cars were still in the intersection.

 Car 1 sustained minor damage to its rear bumper and car 2 sustained minor damage to front bumper. Both parties pulled over to exchange information.
Car 2 did not provide Registration and Insurance for their respective car. Car 2's driver did give us driver's license information but the driver of the vehicle (car 2) at the time of the incident was a different person than that represented on the driver's license presented.",No,Nissan ,Leaf,2023,Yes,,Ford F-150XLT,,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,"rear_bumper, veh_1c_rear_end",MINOR
42,08/02/2024,9:48,AM,"San Francisco, San Francisco","A Zoox vehicle (Vehicle 1) in autonomous mode, traveling north on Harrison St and turning right onto 13th Street in San Francisco drove over metal debris. The Zoox vehicle sustained minor damage to the undercarriage. There were no reported injuries and police were not called.",Yes,Toyota,Highlander,2017,Yes,,,,No,weather_a_1,road_conditions_b_1,lighting_a_1,roadway_a_1,Not specified,"left_rear_passenger_4, right_rear_passenger_3, front_driver_side_2, front_passenger_side_1, front_driver_side_4, front_passenger_side_3",MINOR
43,09/03/2024,3:31,AM,"San Francisco, San Francisco","A Zoox vehicle  (Vehicle 1), operating in manual mode, was stopped for a red traffic light  on northbound Van Ness Avenue, at the intersection with Mission St in San Francisco. A  passenger car (Vehicle 2), traveling in the same direction, was stopped in the adjacent lane to the right of the Zoox vehicle. As the signal turned green, both vehicles proceeded forward and shortly after that Vehicle 2 suddenly veered left into Zoox vehicle's travel lane. The driver side quarter panel of Vehicle 2 made contact with the passenger side fender of the Zoox vehicle. The quarter panel of Vehicle 2 appeared to have scrapes and there was no damage to the Zoox vehicle. There were no reported injuries and police were not called.",No,Toyota,Highlander,2019,Yes,,Honda Accord,2014.0,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,Not specified,UNK
44,09/29/2024,9:05,AM,"San Francisco, San Francisco","A Zoox vehicle in manual mode was parallel-parked within the parking lane on northbound 19th Avenue in San Francisco, when a dump truck, traveling north in the adjacent lane, swiped the driver side mirror on the Zoox vehicle. The Zoox vehicle sustained minor damage. The operator of the dump truck did not stop and left the scene without exchanging information. There were no reported injuries and police were not called.",No,Toyota,Highlander,2019,No,,Isuzu,,Yes,"weather_e_1, weather_e_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,front_driver_side_3,MINOR
45,10/24/2024,10:00,AM,"San Francisco, San Francisco","A Zoox vehicle in autonomous mode was stopped for a red traffic light on northbound Howard Street while preparing to turn left onto westbound 12th Street in San Francisco. After the light turned green the Zoox vehicle began to move forward and then slowed gradually to yield to a pedestrian with right of way in the crosswalk on 12th Street. Just as the Zoox vehicle slowed to almost a stop (0.2 mph), a skateboarder quickly approached the rear of the Zoox vehicle extending their left arm forward and making contact with the right rear corner of the Zoox vehicle. The Zoox vehicle operator then disengaged from autonomy and brought the vehicle to a stop. The skateboarder initially told the Zoox vehicle operator they were not injured but later mentioned they “smacked” their hand and it was “bruised.” When asked, however, they declined medical attention. The Zoox vehicle did not sustain damage. The police were not called. The Zoox vehicle camera footage shows that the skateboarder was looking at  their cell phone and did not appear to have been looking ahead at the roadway before the time of contact.",Yes,Toyota,Highlander,2017,Yes,,Skateboard,,No,weather_a_1,road_conditions_h_1,lighting_a_1,roadway_a_1,Not specified,Not specified,UNK
46,12/08/2024,9:33,AM,"San Francisco, San Francisco","A Zoox vehicle (Vehicle 1) in autonomy was stopped at a red light behind an SUV (Vehicle 2) in the right travel lane on southbound 11th Street at the intersection with Bryant and Division Streets in San Francisco. After the light turned green, the SUV proceeded straight, in the right lane, toward southbound Bryant Street. The Zoox vehicle also proceeded and transitioned into the left lane (also a through lane). While almost through the intersection, the SUV suddenly veered left across the path of the Zoox vehicle toward Division Street. The Zoox vehicle braked hard in response to the turning SUV and had almost reached a stop when the rear driver side of the SUV made contact with the passenger side front fender of the Zoox vehicle. The Zoox vehicle then came to a full stop. The driver of the SUV left the scene without exchanging information. The Zoox vehicle cleared the intersection, proceeded down Bryant Street, briefly stopped again, and then pulled over on Bryant Street. The Zoox vehicle sustained minor damage to the passenger side front fender. The police were not called.",Yes,Zoox,sedan,2024,Yes,,Nissan Pathfinder,,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_c_1, lighting_c_2","roadway_a_1, roadway_a_2",Not specified,right_front_corner_2,MINOR
47,12/18/2024,2:22,AM,"San Francisco, San Francisco","A Zoox vehicle (Vehicle 1) operating in manual mode was in stop-and-go traffic in the left through lane on northbound Potrero Avenue at 24th Street in San Francisco. The Zoox vehicle was gradually slowing to a stop for stopped traffic ahead when a passenger car (Vehicle 2), traveling directly behind the Zoox vehicle, moved left to proceed towards the left turn lane. As the passenger car passed the Zoox vehicle, the passenger-side mirror of the passenger car swiped the radar unit on the driver-side quarter panel of the Zoox vehicle. There was minor damage to the Zoox vehicle. The driver of the passenger car did not stop and left the scene without exchanging information. There were no reported injuries and police were not called. ",No,Toyota,Highlander,2019,Yes,,Dodge Challenger,,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2",Not specified,Not specified,left_rear_2,MINOR
48,10/06/2024,2:03,AM,"San Francisco, San Francisco","A Zoox vehicle operator was maneuvering the vehicle in manual mode out of a parallel parking spot on the right side curb of 46th Avenue in San Francisco, when the roof-mounted sensor pod on the rear passenger side of the vehicle made contact with a tree branch. The sensor pod on the Zoox vehicle sustained damage. There were no reported injuries and police were not called.",No,Toyota,Highlander,2017,No,,,,No,weather_a_1,road_conditions_h_1,lighting_a_1,roadway_a_1,Not specified,right_rear_3,MAJOR
49,10/10/2024,9:20,AM,"San Francisco, San Francisco","A Zoox vehicle (Vehicle 1) operating in manual mode was stopped behind traffic for a red traffic light on southbound Hyde Street, approaching the intersection with Pine Street in San Francisco. After the traffic light turned green, and just as the Zoox vehicle started to move, it was rear ended by an approaching minivan (Vehicle 2). The Zoox vehicle sustained minor damage to the rear bumper. There were no reported injuries and police were not called. ",No,Toyota,Highlander,2017,Yes,,Honda Odyssey,2003.0,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,rear_bumper,MINOR
