accident_id,date,time,am_pm,location,description,autonomous_mode,vehicle_1_make,vehicle_1_model,vehicle_1_year,vehicle_1_moving,vehicle_2_make,vehicle_2_model,vehicle_2_year,vehicle_2_moving,weather_conditions,road_conditions,lighting_conditions,roadway_surface,associated_factors,impact_points,vehicle_damage,Unnamed: 22,ground_truth
56,7/21/2019,9:01,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (“Cruise AV”) being driven in conventional mode was involved in a collision while traveling in a private parking lot on the north side of Market Street near the intersection of Duboce Avenue and Church Street. While the driver of the Cruise AV was proceeding towards the parking lot exit, another vehicle reversing out of its perpendicular parking spot made contact with the front right side of the Cruise AV. Police were not called and no injuries were reported at the scene by either party. The Cruise AV tester sitting in the front passenger seat later mentioned a back injury.",No,Chevrolet,Bolt,2020,Yes,,Sienna,,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,Not specified,NONE,,Undetermined
57,7/21/2019,9:01,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (“Cruise AV”) being driven in conventional mode was involved in a collision while traveling in a private parking lot on the north side of Market Street near the intersection of Duboce Avenue and Church Street. While the driver of the Cruise AV was proceeding towards the parking lot exit, another vehicle reversing out of its perpendicular parking spot made contact with the front right side of the Cruise AV. Police were not called and no injuries were reported at the scene by either party. The Cruise AV tester sitting in the front passenger seat later mentioned a back injury.",No,Chevrolet,Bolt,2020,Yes,,Sienna,,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,Not specified,NONE,,Undetermined
58,8/4/2019,2:32,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling northbound on Leavenworth Street between Geary and Post Streets when another vehicle changed from the right adjacent lane to ahead of the Cruise AV without using its left signal. The driver of the Cruise AV disengaged from autonomous mode and, shortly thereafter, a second vehicle made contact with the rear bumper of the Cruise AV, damaging the Cruise AV’s rear bumper mounting bracket. Police were not called and no injuries were reported at the scene by either party. The Cruise AV tester sitting in the driver’s seat later mentioned neck pain.",No,Chevrolet,Bolt,2020,Yes,,Fiesta,2018,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,left_rear_1,MINOR,,Vehicle 1 (AV Operator): 100%
59,8/7/2019,10:23,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling eastbound on 24th Street between Noe and Sanchez Streets when the Cruise AV yielded to a jaywalking pedestrian and for clearance to maneuver around a double-parked vehicle immediately ahead of it. While the Cruise AV waited, another vehicle pulling out of a driveway and into the Cruise AV’s lane made contact with the left rear corner of the Cruise AV, damaging the Cruise AV’s left rear bumper, fender, and radar. There were no injuries and police were not called.",Yes,Chevrolet,Bolt,2020,No,,NPR,2000,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,"left_rear_1, left_rear_2, left_rear_3",UNK,,Vehicle 2: 100%
60,8/10/2019,11:39,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling northbound on Noe Street at the intersection with 14th Street when the Cruise AV yielded to a pedestrian in the north crosswalk. The driver of the Cruise AV disengaged from autonomous mode, and shortly thereafter, another vehicle attempting a left turn from southbound Noe onto eastbound 14th made contact with the left rear corner of the Cruise AV, damaging the Cruise AV’s left rear fascia and wheel well. There were no injuries reported at the scene by either party and police were not called. ",No,Chevrolet,Bolt,2020,No,,Taurus,2000,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_c_1, lighting_c_2","roadway_a_1, roadway_a_2",Not specified,"left_rear_1, left_rear_2, left_rear_3, left_rear_passenger_1",MINOR,,Vehicle 2: 100%
61,8/22/2019,1:13,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling westbound on Geary Boulevard between 32nd and 33rd Avenues when another vehicle, traveling in the right adjacent lane, changed into the same lane as the Cruise AV and made contact with the right rear corner of the Cruise AV, damaging the Cruise AV’s right rear fascia and bumper. There were no injuries and police were not called.",Yes,Chevrolet,Bolt,2020,Yes,,Chevrolet,,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,"right_rear_1, right_rear_3",MINOR,,Undetermined
62,8/26/2019,9:14,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling westbound on Division Street between Potrero Avenue and Bryant Street when the Cruise AV slowed down in the right turn lane. The driver of the Cruise AV disengaged from autonomous mode, and shortly thereafter, an electric scooterist traveling in the same lane made contact with the rear bumper and fascia of the Cruise AV. The scooterist reported injuries and emergency services and the police arrived at the scene. SFPD incident report number 190633860 was not available at the time of filing of this report.",No,Chevrolet,Bolt,2020,Yes,,,,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_c_1, lighting_c_2","roadway_a_1, roadway_a_2",other_a_yes,Not specified,NONE,,Vehicle 1 (AV Operator): 100%
63,9/5/2019,5:33,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (“Cruise AV”) being driven in conventional mode was involved in a collision after completing a right turn from southwest bound Market Street onto westbound Haight Street at the intersection with Gough Street. As the driver of the Cruise AV proceeded on Haight through Gough, a motor scooterist, proceeding southbound on Gough through the intersection with Haight, made contact with the right rear passenger door of the Cruise AV, denting the door. There were no injuries reported at the scene by either party. Police were called but not dispatched to the scene. Days after the collision, the motor scooterist reported injuries.",No,Chevrolet ,Bolt,2020,Yes,,Vespa,,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,right_rear_passenger_2,MINOR,,Undetermined
64,9/9/2019,4:24,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (“Cruise AV), operating in autonomous mode, was yielding to oncoming traffic prior to making a left turn onto northbound Palm Avenue from eastbound Geary Boulevard when another vehicle made contact with the rear bumper of the Cruise AV. There were no injuries reported at the scene by either party and police were not called. The Cruise AV tester sitting in the front passenger seat later mentioned neck pain.",Yes,Chevrolet,Bolt,2020,No,,Forester,2005,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,Not specified,NONE,,Undetermined
65,9/27/2019,11:49,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling eastbound on Clay Street at the intersection with Kearny Street when the Cruise AV slowed down. The driver of the Cruise AV disengaged from autonomous mode and, shortly thereafter, a bicyclist proceeding straight on northbound Kearny Street made contact with the right rear fender of the Cruise AV, damaging its fender. The bicyclist left the scene without exchanging information. There were no injuries and police were not called.",No,Chevrolet,Bolt,2020,No,,unk,,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,right_rear_3,MINOR,,Vehicle 2: 100%
66,10/3/2019,4:40,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling northeast bound on Bryant Street between 11th and 10th Streets when the Cruise AV yielded to a parallel parking vehicle ahead on the right. Shortly thereafter, a lane-splitting electric scooterist attempting to change lanes made contact with the left rear corner of the Cruise AV. There were no injuries reported at the scene by either party and police were not called. The electric scooterist later reported injuries.",Yes,Chevrolet,Bolt,2020,No,,unk.,,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,Not specified,NONE,,Undetermined
67,10/12/2019,1:23,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling southeast bound on Spear Street between Howard and Folsom Streets when the Cruise AV slowed down to change into the right adjacent lane due to traffic cones ahead. The driver of the Cruise AV disengaged from autonomous mode and, shortly thereafter, a lane-splitting car made contact with the right rear corner of the Cruise AV, damaging the Cruise AV’s right lower tail lamp. The driver of the other vehicle drove away without exchanging information. There were no injuries reported. Police were called but were not dispatched to the scene.",No,Chevrolet,Bolt,2020,Yes,,Mazda,,Yes,"weather_a_1, weather_a_2","road_conditions_d_1, road_conditions_d_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,"right_rear_1, right_rear_3",MINOR,,Vehicle 1 (AV Operator): 100%
68,2/28/2019,2:06,AM,"Mountain View, Santa Clara","At approximately 2:06 pm on February 28, 2019, a Lyft Autonomous Vehicle (""Lyft AV""), operating in manual mode, was struck at very low speed from behind by a 3rd party passenger vehicle while waiting to make a protected left turn in Mountain View, CA. The driver of the Lyft AV had been inched forward after being stopped at a red light for approximately 105 seconds on NB Shoreline Boulevard while waiting to make a left turn onto Wright Avenue. The driver of the 3rd party passenger vehicle verbally stated that she had pressed both the accelerator and the brake pedal simultaneously. The Lyft AV sustained minor damage to the rear bumper. The 3rd party passenger vehicle sustained minor damage to the front bumper and grill. No injuries were reported and the police were not notified.",No,Ford,Fusion Hybrid,2017,No,,Mercedes Benz E Class 4D 2WD 350,2006,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,"left_rear_1, rear_bumper, right_rear_1",MINOR,,Vehicle 2: 100%
69,3/6/2019,8:24,AM,"Palo Alto, Santa Clara","On March 6, 2019 at approximately 8:42 AM, a Lyft Autonomous Vehicle (""Lyft AV""), operating in full manual mode and heading westbound on Alma Street in Palo Alto, made a minor contact with the rear bumper of a 3rd party vehicle during rainy and wet roadway conditions. The driver of the Lyft AV applied the brakes while coming to a stop for traffic before making contact at a very low speed. The Lyft AV sustained minor damage to a front sensor and brake. The 3rd party vehicle appeared to have very minor damage to the bumper but neither driver could confirm at the time. There were no injuries reported and the police were not notified.",No,Ford,Fusion,2018,Yes,,Mazda CX-5 Grand Touring 4D UTV,2016,No,"weather_c_1, weather_c_2",Not specified,"lighting_a_1, lighting_a_2","roadway_b_1, roadway_b_2",Not specified,"left_front_corner_3, right_front_corner_3, front_bumper",MINOR,,Undetermined
70,3/12/2019,4:05,AM,"Mountain View, Santa Clara","On March 12, 2019 at approximately 4:07 pm, a Lyft Autonomous Vehicle (""Lyft AV""), operating at full manual mode, made contact at approximately 2 mph with a parked 3rd party vehicle while reversing during a multi-point turn. There was no driver or passenger present in the  3rd party vehicle. The incident occurred on Pettis Avenue near El Camino Boulevard in Mountain View, CA. Minor damage is limited to the left rear bumper area of the Lyft AV (A010) and the left rear driver's side of the 3rd party, pending further inspection. The owner of the 3rd party vehicle came outside to exchange information with the operators. No injuries were reported and the police were not notified.",No,Ford,Fusion,2018,Yes,,A4 Audi,,No,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,left_rear_1,MINOR,,Undetermined
71,4/11/2019,11:31,AM,"San Francisco, San Francisco","On April 11, 2019 at approximately 11:31 am, a Lyft Autonomous Vehicle operating in manual mode was involved in an incident with a moving third party vehicle. The incident occurred after making a right turn from Natoma Street and 6th Street in San Francisco, CA. Lyft was proceeding straight in the right lane when the third party vehicle aggressively swerved into the right lane, cutting broadside in front of the Lyft AV, and came to a complete stop, causing unavoidable impact from the Lyft AV at approximately 1 mph. The Lyft AV sustained damage to the front left bumper, fender, and left lidar sensor. The third party vehicle sustained damage to the right rear quarter panel and rear passenger door. Lyft AV operators called 911 due to hostile behavior of the third party driver and emergency vehicles responded to the scene. No injuries were reported by the first responders or the team in the Lyft AV.",No,Ford,Fusion,2018,Yes,,Toyota Prius,2015,Yes,"weather_a_1, weather_a_2",Not specified,"lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,"left_front_corner_3, left_front_corner_1",MINOR,,Undetermined
72,5/2/2019,3:50,AM,"Palo Alto, Santa Clara","At approximately 3:50 pm, the Lyft autonomous vehicle (""Lyft"") was traveling northbound on San Antonio Road in Palo Alto while in manual mode when a third-party vehicle made contact with rear bumper at a very low speed. At the time of contact, was stopped for traffic for approximately 2 seconds during stop and go traffic. No visible damage was noted by either party at the scene. No injuries were reported and local law enforcement was not called.",No,Ford,Fusion,2018,No,,Ford Fusion,2017,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,"left_rear_1, rear_bumper, right_rear_1",MINOR,,Vehicle 2: 100%
73,11/19/2019,2:04,AM,"Palo Alto, Santa Clara","On November 19, 2019 at approximately 2:04pm in clear weather, a Lyft Autonomous Vehicle (“Lyft AV”) was travelling at 29.6mph in autonomous mode northbound in the right lane on El Camino Real Blvd in Palo Alto, CA when the Safety Driver commanded manual mode with steering and brake inputs in immediate reaction to the third party vehicle in the adjacent center lane abruptly cutting in to the AV's lane, apparently attempting to make a last-second right turn onto Medical Foundation Drive.  Approximately 1.5 seconds later, the third party vehicle collided with AV which was then travelling at 14mph. The third party passenger vehicle made contact with the Lyft AV’s front left lidar sensor and the driver side fender.  Damage was limited to the third party’s passenger side door and passenger side fender, and the Lyft AV’s front bumper, left bumper lidar sensor and driver side fender. No injuries were reported and law enforcement was not called.",No,Ford,Fusion,2018,No,,Outback,2019,No,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,UNK,,Undetermined
74,6/26/2019,2:26,AM,"Fremont, Alameda","A Pony.AI autonomous vehicle (""Pony AV"") in autonomous mode was traveling southbound on Pine Street heading towards Cameron Hills Drive.  A passenger vehicle traveling southbound behind the Pony AV crossed the traffic line and entered the northbound lane of Pine Street in an attempt to pass the Pony AV.  The Pony AV's speed remained consistent.  After passing the Pony AV by about a quarter car length, the passenger vehicle abruptly turned back into the southbound lane of Pine Street such that it was in very close proximity to the front of the Pony AV.  The passenger vehicle then suddenly decelerated.  The Pony AV's safety driver disengaged autonomous mode and manually applied the brake.  As a result of the passenger vehicle's sudden deceleration, the Pony AV's front-left bumper made contact with the back-right bumper of the passenger vehicle causing minor scratches to both vehicles.  The safety driver of the Pony AV and the driver of the passenger vehicle stopped to exchange information.  No injuries were reported and the police were not called.",No,Lincoln,MKZ,2018,No,,Tesla Model 3 ,,No,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,UNK,,Vehicle 1 (AV Operator): 100%
75,7/12/2019,5:00,AM,"Milpitas, Alameda","A Pony.ai autonomous vehicle (""Pony AV"") in autonomous mode was stopped at a red light at the intersection of Dixon Landing Road and California Circle. While stopped at the red light, the Pony AV's safety driver noticed that the reverse lights of the vehicle directly in front of the Pony AV (""Vehicle 2"") were on. The Pony AV's safety driver disengaged autonomous mode, observed that there were no vehicles directly behind it, and reversed 20-30 feet as a precaution. When the traffic light turned green, Vehicle 2 accelerated while still in reverse toward the Pony AV.  Vehicle 2 came to a complete stop about 4 feet from the Pony AV's front bumper. After about 2 seconds, however, Vehicle 2 continued to reverse in the direction of the Pony AV, resulting in contact between the two vehicles. The contact caused minor scratches to both vehicles. The Pony AV's safety driver and the driver of Vehicle 2 pulled over at a nearby parking lot and exchanged information. There were no injuries reported and the police were not called.",No,Lincoln,MKZ,2018,No,,Civic LX,2011,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,front_bumper,MINOR,,Vehicle 1 (AV Operator): 100%
76,1/26/2019,3:24,AM,"Mountain View, Santa Clara","Per the DMV's request of 02/21/2019, Waymo is resubmitting this OL316 so the DMV's digital version is compliant with accessibility requirements under AB 434. Waymo's original report was submitted on 01/31/2019.

A Waymo Autonomous Vehicle (“Waymo AV”) in manual mode was yielding to check for cross traffic while in the slip lane to turn from southbound Shoreline Boulevard to westbound El Camino Real in Mountain View when it was rear-ended by a passenger vehicle. The Waymo AV sustained minor damage to the rear left of the vehicle, and the passenger vehicle had minor damage to the front right of the vehicle. No injuries were reported.",No,Chrysler,Pacifica,2017,No,,Toyota RAV4,2014,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,left_rear_1,MINOR,,Vehicle 2: 100%
77,2/6/2019,9:08,AM,"Mountain View, Santa Clara","Per the DMV's request of 02/21/2019, Waymo is resubmitting this OL316 so the DMV's digital version is compliant with accessibility requirements under AB 434. Waymo's original report was submitted on 02/14/2019.

A Waymo Autonomous Vehicle (“Waymo AV”) was stopped in autonomous mode in the slip-lane from northbound Shoreline Boulevard to northbound Central Expressway in Mountain View when it was rear-ended. The Waymo AV was yielding to approaching traffic from the left when a passenger vehicle rear-ended the Waymo AV while travelling approximately 4 MPH. The Waymo AV sustained minor damage to the rear bumper, and the passenger vehicle had minor damage to its front bumper. No injuries were reported at the scene but the two operators in the Waymo AV later reported minor headache and neck soreness. They sought medical attention and both were cleared to return to work.",Yes,Chrysler,Pacifica,2017,No,,Lexus IS250,2007,Yes,"weather_b_1, weather_b_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",other_e,"left_rear_1, rear_bumper",MINOR,,Vehicle 2: 100%
78,2/10/2019,4:14,AM,"Mountain View, Santa Clara","Per the DMV's request of 02/21/2019, Waymo is resubmitting this OL316 so the DMV's digital version is compliant with accessibility requirements under AB 434. Waymo's original report was submitted on 02/19/2019.

A Waymo Autonomous Vehicle (“Waymo AV”) was traveling in autonomous mode in the far right lane on southbound Highway 85 passing El Camino Real in Mountain View. A passenger vehicle entered the highway from El Camino Real and made an unsafe maneuver by crossing over a solid white line and cutting-in to the Waymo AV’s lane. Out of an abundance of caution, the Waymo AV’s test driver disengaged the autonomous mode on the Waymo AV and made an evasive maneuver into the left adjacent lane at approximately 45 MPH. As the test driver made the maneuver, the Waymo AV came into contact with a second passenger vehicle that had been approaching from behind in the left adjacent lane. The Waymo AV sustained minor damage and tire marks to the driver side of the vehicle, and the second passenger vehicle sustained no damage. The driver of the second passenger vehicle stopped to exchange information with the Waymo test driver, but after volunteering that there was no damage to their vehicle, left the scene. The first passenger vehicle did not stop. There were no injuries reported.",No,Chrysler,Pacifica,2017,Yes,,Chevrolet Traverse,UNK,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",other_i,"front_driver_side_1, left_rear_passenger_3, front_driver_side_3, left_rear_2, left_rear_passenger_1",MINOR,,Vehicle 1 (AV Operator): 100%
